address,distance,distance_type,rating,capaciity,area,price
Can Tho,1.3,km,9,2 ,null,"2,419,999"
Can Tho,0.9,km,9.6,2 ,null,"540,000"
Can Tho,11.6,km,8.5,2 ,null,"1,158,050"
Can Tho,350,m,8.3,2 ,18,"730,000"
Can Tho,0.6,km,5.5,2 ,null,"600,000"
Can Tho,3.8,km,8.8,2 ,null,"1,101,600"
Can Tho,11.8,km,9.1,2 ,null,"680,000"
Can Tho,20.7,km,9.7,2 ,null,"1,099,000"
Can Tho,2.5,km,5.5,2 ,null,"380,000"
Can Tho,400,m,8.2,2 ,null,"475,997"
Can Tho,450,m,8.2,2 ,null,"400,000"
Can Tho,10.1,km,9.9,2 ,null,"810,000"
Can Tho,11.9,km,null,2 ,null,"336,000"
Can Tho,0.7,km,7.7,2 ,null,"990,000"
Can Tho,1.4,km,8.2,2 ,null,"279,000"
Can Tho,9,km,9.4,2 ,null,"1,200,000"
Da Lat,2.9,km,8.2,1 ,null,"1,884,960"
Da Lat,1.8,km,10,1 ,150,"3,385,800"
Da Lat,3.4,km,null,1 ,null,"2,100,000"
Da Lat,1.9,km,null,1 ,null,"1,425,000"
Da Lat,0.8,km,null,1 ,125,"2,500,000"
Da Lat,3,km,5.5,1 ,56,"2,000,000"
Da Lat,1.1,km,null,1 ,270,"5,000,000"
Da Lat,4.7,km,9.1,1 ,400,"3,125,500"
"Xuan Huong Lake, Da Lat",0.5,km,null,1 ,40,"2,100,000"
Da Lat,1.7,km,null,1 ,null,"1,680,000"
"Xuan Huong Lake, Da Lat",2.5,km,1,1 ,500,"4,495,500"
Da Lat,3.2,km,10,1 ,250,"5,100,000"
Da Lat,1.4,km,9.4,1 ,140,"1,296,000"
"Xuan Huong Lake, Da Lat",1.3,km,8,1 ,300,"1,404,000"
Da Lat,0.9,km,null,1 ,null,"20,000,000"
Da Lat,1.3,km,null,1 ,null,"1,440,000"
"Xuan Huong Lake, Da Lat",300,m,10,1 ,100,"4,000,000"
Da Lat,3.3,km,9.1,1 ,null,"553,824"
Da Lat,2,km,7.3,1 ,null,"853,943"
Da Lat,3.4,km,null,1 ,40,"1,530,000"
Da Lat,4,km,null,1 ,30,"3,996,000"
Da Lat,1.7,km,10,1 ,120,"1,008,000"
Da Lat,4.3,km,9,1 ,null,"763,857"
Da Lat,1.2,km,null,1 ,null,"1,333,800"
Da Lat,1.4,km,6,1 ,280,"1,960,000"
Da Lat,12.6,km,null,1 ,120,"2,800,000"
Da Lat,1.9,km,1,1 ,null,"792,000"
Da Lat,1.5,km,9,1 ,225,"4,500,000"
Da Lat,1.8,km,10,1 ,120,"1,800,000"
Da Lat,1.3,km,9.5,1 ,87,"2,700,000"
Da Lat,1.2,km,null,1 ,null,"1,296,000"
Da Lat,1.9,km,7.6,1 ,40,"439,200"
Da Lat,1.3,km,null,1 ,null,"3,500,000"
Da Lat,2.5,km,null,1 ,150,"1,600,000"
Da Lat,0.8,km,null,1 ,null,"1,999,999"
Da Lat,1.5,km,9.3,1 ,250,"3,000,000"
Da Lat,1.7,km,null,1 ,null,"2,000,000"
"Xuan Huong Lake, Da Lat",2.9,km,null,1 ,30,"3,960,000"
Da Lat,1,km,null,1 ,null,"840,000"
Da Lat,1.6,km,null,1 ,300,"3,596,400"
Da Lat,2,km,9,1 ,130,"579,600"
Da Lat,450,m,null,1 ,null,"270,000"
Da Lat,1.4,km,null,1 ,90,"1,732,500"
Da Lat,1.8,km,9.7,1 ,100,"1,154,250"
Da Lat,0.7,km,null,1 ,null,"1,392,130"
Da Lat,2.9,km,null,1 ,null,"3,000,000"
Da Lat,350,m,null,1 ,null,"405,000"
"Tuyen Lam Lake, Da Lat",4.1,km,6.6,1 ,000,"6,000,000"
Da Lat,1.9,km,null,1 ,130,"615,600"
Da Lat,10.9,km,8,1 ,20,"1,610,000"
"Xuan Huong Lake, Da Lat",0.7,km,null,1 ,null,"570,000"
Da Lat,1.1,km,null,1 ,120,"2,240,000"
Da Lat,1.9,km,null,1 ,null,"1,625,000"
Da Lat,1.4,km,7,1 ,null,"3,200,000"
"Xuan Huong Lake, Da Lat",2.1,km,9,1 ,null,"748,000"
Da Lat,2.3,km,1,1 ,null,"2,000,000"
Da Lat,2.6,km,null,1 ,25,"4,195,800"
Da Lat,3.5,km,8,1 ,000,"3,000,000"
Da Lat,1.4,km,1,1 ,null,"4,050,000"
Da Lat,2.2,km,7.2,1 ,null,"355,388"
Da Lat,3.1,km,10,1 ,null,"1,700,000"
Da Lat,1.2,km,8.5,1 ,null,"665,000"
Da Lat,1,km,null,1 ,120,"2,800,000"
Da Lat,2.1,km,7.8,1 ,130,"735,300"
Da Lat,2.7,km,null,1 ,225,"3,325,000"
"Xuan Huong Lake, Da Lat",300,m,8.6,1 ,101,"2,700,000"
Da Lat,1.1,km,9,1 ,null,"1,323,000"
Da Lat,2.1,km,9.5,1 ,null,"252,720"
Da Lat,2.1,km,null,1 ,null,"4,500,000"
Da Lat,2.9,km,null,1 ,280,"2,600,000"
Da Lat,1.7,km,null,1 ,null,"1,200,000"
Da Lat,1.5,km,9.6,1 ,300,"4,275,000"
Da Lat,2.1,km,10,1 ,null,"2,500,000"
"Xuan Huong Lake, Da Lat",250,m,9.5,1 ,70,"1,800,000"
Da Lat,2.8,km,null,1 ,300,"1,040,000"
Da Lat,2,km,null,1 ,25,"3,500,000"
Da Lat,1.3,km,null,1 ,null,"1,620,000"
Da Lat,12.2,km,1,1 ,300,"4,500,000"
Da Lat,0.7,km,9,1 ,null,"559,946"
Da Lat,1.8,km,9.2,1 ,null,"1,120,000"
"Xuan Huong Lake, Da Lat",1.9,km,9.2,1 ,250,"1,100,000"
Da Lat,1.5,km,4.5,1 ,300,"1,494,000"
Da Lat,1.3,km,8.5,1 ,null,"1,200,000"
Da Lat,1.1,km,8,1 ,160,"1,462,500"
Da Lat,2,km,null,1 ,null,"750,000"
Da Lat,2.1,km,10,1 ,200,"1,350,000"
Da Lat,2,km,9.5,1 ,35,"500,000"
Da Lat,2.8,km,9.5,1 ,null,"540,000"
Da Lat,1.2,km,9.7,1 ,null,"1,080,000"
Da Lat,1,km,null,1 ,null,"1,400,000"
Da Lat,1.4,km,null,1 ,null,"2,268,000"
"Xuan Huong Lake, Da Lat",0.7,km,null,1 ,null,"1,080,000"
Da Lat,3,km,8,1 ,null,"4,200,000"
Da Lat,2.7,km,null,1 ,30,"768,000"
Da Lat,2.9,km,9.1,1 ,null,"300,000"
Da Lat,0.6,km,8.6,1 ,null,"900,000"
Da Lat,1.4,km,6.3,1 ,null,"342,000"
Da Lat,2.2,km,10,1 ,100,"1,656,000"
"Xuan Huong Lake, Da Lat",1.7,km,8.2,1 ,18,"1,300,000"
Da Lat,1.4,km,9.3,1 ,null,"969,000"
Da Lat,3,km,10,1 ,null,"284,525"
Da Lat,1.6,km,9,1 ,100,"1,674,340"
Da Lat,1.8,km,9.2,1 ,null,"1,700,000"
Da Lat,1.7,km,null,1 ,null,"3,500,000"
Da Lat,1.4,km,8.8,1 ,400,"2,400,000"
Da Lat,4.2,km,8.7,1 ,null,"480,000"
Da Lat,1.7,km,8.9,1 ,200,"1,008,000"
Da Lat,1,km,9.3,1 ,null,"350,000"
"Xuan Huong Lake, Da Lat",2.5,km,5.8,1 ,null,"1,890,000"
Da Lat,0.9,km,8.1,1 ,null,"270,720"
Da Lat,1.4,km,10,1 ,null,"450,000"
