address,distance,distance_type,rating,capaciity,area,price
dalat,2100,km,94,4,100,2731500
dalat,2100,km,90,4,130,1296000
dalat,4200,km,86,4,240,17911492
dalat,2200,km,100,4,25,1980000
dalat,600,km,90,4,40,2430000
dalat,2100,km,87,4,130,901000
dalat,900,km,98,4,120,3325000
dalat,1500,km,90,4,225,4500000
dalat,2800,km,80,4,400,4499999
dalat,2100,km,78,4,130,812250
dalat,500,km,88,4,80,1080000
dalat,350,m,84,4,36,1575000
dalat,1300,km,10,4,150,440000
dalat,800,km,79,4,35,1867938
dalat,700,km,100,4,30,1259000
dalat,2000,km,90,4,130,693000
dalat,1700,km,100,4,120,1200000
dalat,5300,km,82,4,160,10805625
dalat,700,km,98,4,90,1458000
dalat,2000,km,96,4,35,600000
dalat,2400,km,86,4,45,4151500
dalat,1700,km,99,4,70,2770200
dalat,900,km,87,4,200,3328000
dalat,900,km,80,4,68,5832000
dalat,900,km,80,4,79,750000
dalat,1400,km,94,4,150,2154600
dalat,1300,km,96,4,38,1200000
dalat,2200,km,78,4,55,1228500
dalat,1400,km,95,4,50,1215000
dalat,1100,km,86,4,75,2800000
dalat,1500,km,89,4,240,2850000
dalat,1500,km,90,4,225,4500000
dalat,600,km,90,4,40,2430000
dalat,1700,km,100,4,200,675000
dalat,3000,km,10,4,15,864000
dalat,1400,km,100,4,210,1052474
dalat,2200,km,78,4,55,1228500
dalat,150,m,83,4,33,1559000
dalat,900,km,80,4,79,750000
dalat,2200,km,87,4,100,1478520
dalat,1400,km,100,4,210,1052474
dalat,150,m,83,4,33,1559000
dalat,1700,km,100,4,200,675000
dalat,900,km,83,5,25,2450000
dalat,6500,km,90,5,10,1856000
dalat,400,m,89,5,24,1855000
dalat,800,km,80,5,25,1240000
dalat,600,km,66,5,40,945000
dalat,1400,km,100,5,200,4879000
dalat,1400,km,94,5,150,2154600
dalat,600,km,97,5,70,1090000
dalat,1300,km,92,5,25,1089000
dalat,1300,km,83,5,20,819000
dalat,600,km,82,5,75,6934190
dalat,1200,km,87,5,16,1154250
dalat,3400,km,97,5,10,2057000
dalat,4700,km,89,5,10,1450000
dalat,1200,km,96,5,20,670000
dalat,150,m,83,5,208,11859000
dalat,900,km,80,5,68,8316000
dalat,2800,km,88,5,30,2150000
dalat,350,m,84,5,25,2448000
dalat,1300,km,76,5,22,914175
dalat,250,m,81,5,28,672000
dalat,1500,km,86,5,54,3716625
dalat,300,m,100,5,100,4000000
dalat,2100,km,97,5,90,1700000
dalat,600,km,90,5,60,3555000
dalat,3800,km,96,5,80,1614600
dalat,350,m,100,5,208,7986000
dalat,200,m,80,5,186,28534500
dalat,10900,km,80,5,20,1955000
dalat,1700,km,82,5,50,4500000
dalat,6400,km,82,5,310,31104000
dalat,1600,km,90,5,100,2209199
dalat,1300,km,80,5,300,1680000
dalat,3100,km,97,5,125,2809335
dalat,3000,km,10,5,15,918000
dalat,1500,km,93,5,250,3000000
dalat,4700,km,91,5,400,3125500
dalat,1700,km,90,5,200,1008000
dalat,700,km,94,5,70,3889300
dalat,10800,km,83,5,50,1355410
dalat,1900,km,76,5,40,610000
