address,distance,rating,capaciity,area,price
dalat,2300,84,1,,1680000
dalat,2300,44,2,150,1680000
dalat,2300,30,2,150,1680000
dalat,2300,84,2,,1680000
dalat,1600,90,1,100,1674340
dalat,1600,90,2,100,1674340
dalat,600,90,2,28,1674000
dalat,4200,86,1,,1670069
dalat,4200,86,2,,1670069
dalat,5700,70,2,,1669500
dalat,500,81,1,,1663200
dalat,2200,100,1,100,1656000
dalat,1300,70,2,,1656000
dalat,2200,100,2,100,1656000
dalat,700,90,2,,1632000
dalat,600,90,1,28,1629000
dalat,600,90,1,28,1629000
dalat,1900,85,1,,1625000
dalat,1900,66,2,,1625000
dalat,1300,49,1,,1620000
dalat,1300,47,2,,1620000
dalat,1500,69,2,,1617647
dalat,1100,92,2,,1615000
dalat,10900,80,1,20,1610000
dalat,10900,80,2,20,1610000
dalat,5300,82,1,35,1606500
dalat,5300,82,2,35,1606500
dalat,2500,89,1,150,1600000
dalat,800,73,1,,1600000
dalat,2500,71,2,150,1600000
dalat,800,61,2,,1600000
dalat,800,70,2,,1600000
dalat,2300,77,1,99,1599000
dalat,200,80,1,,1598000
dalat,200,80,2,,1598000
dalat,1100,80,2,160,1575000
dalat,1300,100,2,300,1570800
dalat,6400,77,1,,1552500
dalat,6400,77,2,,1552500
dalat,1600,100,1,60,1539000
dalat,1600,100,2,60,1539000
dalat,3400,47,1,40,1530000
dalat,3000,28,1,45,1530000
dalat,3000,69,1,45,1530000
dalat,3400,66,2,40,1530000
dalat,1200,38,1,,1500000
dalat,1200,27,2,,1500000
dalat,2200,80,2,250,1500000
dalat,1500,45,1,300,1494000
dalat,1500,45,2,300,1494000
dalat,1100,80,1,160,1462500
dalat,900,80,2,,1462500
dalat,1300,82,1,,1440000
dalat,1200,68,1,192,1440000
dalat,1200,77,1,192,1440000
dalat,800,67,1,,1440000
dalat,1300,87,2,,1440000
dalat,1700,26,2,,1440000
dalat,1200,68,2,192,1440000
dalat,3000,97,2,,1440000
dalat,1700,87,2,,1440000
dalat,1200,76,2,192,1440000
dalat,1900,66,1,,1425000
dalat,1900,55,2,,1425000
dalat,600,90,2,150,1425000
dalat,600,82,1,,1407337
dalat,600,82,2,,1407337
dalat,1300,80,1,300,1404000
dalat,1300,80,2,300,1404000
dalat,1600,80,1,33,1403000
dalat,1600,80,1,33,1403000
dalat,1600,80,2,33,1403000
dalat,350,60,1,,1402960
dalat,350,60,2,,1402960
dalat,1000,25,1,,1400000
dalat,400,70,1,,1400000
dalat,1200,88,1,,1400000
dalat,1000,69,2,,1400000
dalat,400,70,2,,1400000
dalat,1200,70,2,,1400000
dalat,700,84,1,,1392130
dalat,700,37,2,,1392130
dalat,11500,97,1,,1380000
dalat,11500,97,1,,1380000
dalat,11500,97,2,,1380000
dalat,11500,97,2,,1380000
dalat,4900,91,1,,1377500
dalat,700,78,1,,1376408
dalat,700,78,2,,1376408
dalat,2100,100,1,200,1350000
dalat,900,69,1,,1350000
dalat,2100,100,2,200,1350000
dalat,900,69,2,,1350000
dalat,1100,100,2,220,1338750
dalat,1200,39,2,65,1336500
dalat,1200,30,1,,1333800
dalat,1200,87,1,,1333800
dalat,1200,48,2,,1333800
dalat,1200,68,2,,1333800
dalat,1100,90,1,,1323000
dalat,1100,90,2,,1323000
dalat,1700,82,1,18,1300000
dalat,1700,69,2,,1300000
dalat,1700,82,2,18,1300000
dalat,2800,91,2,,1300000
dalat,1400,94,1,140,1296000
dalat,1200,52,1,,1296000
dalat,3000,97,1,,1296000
dalat,1500,91,2,,1296000
dalat,1400,94,2,140,1296000
dalat,700,98,2,90,1296000
dalat,2100,80,2,,1293957
dalat,1400,86,2,,1280000
dalat,1200,73,2,70,1280000
dalat,1800,70,2,,1280000
dalat,1200,82,2,70,1280000
dalat,1500,85,2,,1263500
dalat,1900,62,2,,1260000
dalat,2100,90,2,132,1260000
dalat,100,78,1,,1240000
dalat,1500,86,1,,1238875
dalat,1500,86,2,,1238875
dalat,350,100,1,,1237000
dalat,350,100,2,,1237000
dalat,2300,87,1,50,1222222
dalat,6800,81,1,,1217824
dalat,1400,95,1,50,1215000
dalat,700,98,1,90,1215000
dalat,1400,95,2,50,1215000
dalat,2200,82,1,,1211760
dalat,2200,82,2,,1211760
dalat,1300,100,1,300,1201200
dalat,1700,31,1,,1200000
dalat,1300,85,1,,1200000
dalat,2100,76,1,,1200000
dalat,1700,100,1,120,1200000
dalat,1300,100,1,40,1200000
dalat,500,85,1,,1200000
dalat,900,88,1,,1200000
dalat,1200,40,1,70,1200000
dalat,900,97,1,,1200000
dalat,7800,95,1,,1200000
dalat,300,79,1,40,1200000
dalat,1200,76,1,70,1200000
dalat,1300,85,2,,1200000
dalat,500,85,2,,1200000
dalat,2100,76,2,,1200000
dalat,1700,100,2,120,1200000
dalat,900,97,2,,1200000
dalat,30,78,1,,1199520
dalat,30,78,2,,1199520
dalat,500,81,1,,1195000
dalat,500,81,2,,1195000
dalat,1100,87,1,100,1193400
dalat,1100,87,2,100,1193400
dalat,300,72,1,,1176471
dalat,300,72,2,,1176471
dalat,2300,10,1,,1170000
dalat,1100,90,1,,1170000
dalat,2300,10,2,,1170000
dalat,2900,84,1,80,1168410
dalat,2900,84,2,80,1168410
dalat,2200,87,1,100,1161945
dalat,2200,87,1,100,1161945
dalat,2200,87,2,100,1161945
dalat,2200,87,2,100,1161945
dalat,1800,97,1,100,1154250
dalat,1800,97,2,100,1154250
dalat,1000,50,2,100,1152000
dalat,3000,80,1,,1144000
dalat,3000,80,2,,1144000
dalat,400,72,1,,1143675
dalat,400,72,2,,1143675
dalat,600,77,1,,1140000
dalat,600,77,2,,1140000
dalat,1500,43,1,,1139400
dalat,1500,34,2,,1139400
dalat,2100,90,2,130,1134000
dalat,900,82,1,,1133787
dalat,900,82,2,,1133787
dalat,1800,82,2,,1125000
dalat,400,74,1,,1123200
dalat,400,74,2,,1123200
dalat,1800,92,1,,1120000
dalat,200,82,1,,1115764
dalat,200,82,2,,1115764
dalat,400,68,1,,1109375
dalat,700,90,1,,1105000
dalat,2100,90,1,132,1102500
dalat,2100,90,1,130,1101600
dalat,1900,92,1,250,1100000
dalat,2200,78,1,,1100000
dalat,1900,92,2,250,1100000
dalat,2200,78,2,,1100000
dalat,800,87,1,,1095000
dalat,450,81,1,,1082250
dalat,1200,97,1,,1080000
dalat,700,79,1,,1080000
dalat,700,67,2,,1080000
dalat,1200,97,2,,1080000
dalat,1600,89,2,,1079999
dalat,450,80,2,,1066712
dalat,1800,77,1,,1059750
dalat,1800,77,2,,1059750
dalat,2800,88,2,,1056000
dalat,350,84,1,25,1053000
dalat,350,84,1,25,1053000
dalat,350,84,2,25,1053000
dalat,2800,52,1,300,1040000
dalat,2100,82,1,,1035000
dalat,2100,82,2,,1035000
dalat,3200,79,1,,1032062
dalat,3200,79,2,,1032062
dalat,1600,89,1,,1026000
dalat,3100,95,1,,1026000
dalat,3100,95,2,,1026000
dalat,500,79,1,,1025500
dalat,500,79,2,,1025500
dalat,2000,96,2,,1020000
dalat,600,74,1,,1015560
dalat,600,74,2,,1015560
dalat,1700,100,1,120,1008000
dalat,1700,89,1,200,1008000
dalat,1700,89,2,200,1008000
dalat,2800,10,1,150,1000000
dalat,2800,10,2,150,1000000
dalat,1100,86,2,,1000000
dalat,2300,91,1,52,990000
dalat,2800,88,1,,990000
dalat,400,82,1,,990000
dalat,2300,91,2,52,990000
dalat,400,82,2,,990000
dalat,500,77,1,,986000
dalat,700,62,2,75,979200
dalat,2000,86,2,130,972000
dalat,1400,100,1,210,971514
dalat,1400,100,1,210,971514
dalat,1400,100,2,210,971514
dalat,1400,100,2,210,971514
dalat,1400,93,1,,969000
dalat,1400,93,2,,969000
dalat,1000,31,2,,960000
dalat,600,40,2,150,960000
dalat,700,100,1,25,959000
dalat,700,100,1,25,959000
dalat,700,100,2,25,959000
dalat,2700,28,2,15,952000
dalat,1800,83,1,,940500
dalat,1800,83,2,,940500
dalat,150,83,1,17,939000
dalat,150,83,1,17,939000
dalat,150,83,2,17,939000
dalat,8600,80,2,,937500
dalat,1600,85,1,30,933333
dalat,1600,85,2,30,933333
dalat,800,86,1,,925020
dalat,800,86,2,,925020
dalat,700,46,1,75,921600
dalat,300,83,2,,918000
dalat,350,80,1,,912600
dalat,350,80,2,,912600
dalat,600,86,1,,900000
dalat,1400,58,1,60,900000
dalat,600,86,2,,900000
dalat,1400,82,2,60,900000
dalat,1600,83,2,,900000
dalat,150,85,2,,896000
dalat,150,44,2,,896000
dalat,2100,84,1,,886140
dalat,2100,84,2,,886140
dalat,3000,55,2,,884000
dalat,350,73,2,,884000
dalat,3000,69,2,,884000
dalat,900,88,2,,875986
